command_time,confirm_time,target_pos,latency_ms
1748472113.293468,1748472113.934540,UP,641.07
1748472116.488810,1748472117.083625,DOWN,594.82
1748472117.921781,1748472118.566617,UP,644.84
1748472119.278156,1748472119.866656,DOWN,588.50
1748472120.665848,1748472121.306663,UP,640.81
1748472122.101937,1748472122.686712,DOWN,584.77
1748472123.543346,1748472124.174692,UP,631.35
1748472125.036683,1748472125.626732,DOWN,590.05
1748472126.308244,1748472126.946739,UP,638.50
1748472127.516361,1748472128.106759,DOWN,590.40
1748472128.700771,1748472129.334781,UP,634.01
1748472130.035208,1748472130.614837,DOWN,579.63
1748472131.247255,1748472131.886820,UP,639.56
1748472132.539539,1748472133.146873,DOWN,607.33
1748472133.717159,1748472134.346895,UP,629.74
1748472134.784549,1748472135.366920,DOWN,582.37
1748472135.999891,1748472136.626887,UP,627.00
1748472137.215558,1748472137.806969,DOWN,591.41
1748472138.483033,1748472139.106930,UP,623.90
1748472139.691228,1748472140.274960,DOWN,583.73
1748472140.988761,1748472141.606974,UP,618.21
1748472142.086345,1748472142.666973,DOWN,580.63
1748472143.269731,1748472143.886997,UP,617.27
1748472144.423678,1748472145.007009,DOWN,583.33
1748472145.604471,1748472146.215014,UP,610.54
1748472146.871735,1748472147.455046,DOWN,583.31
1748472147.998320,1748472148.627060,UP,628.74
1748472149.218487,1748472149.795082,DOWN,576.60
1748472150.219837,1748472150.835080,UP,615.24
1748472151.377476,1748472151.955142,DOWN,577.67
1748472152.471619,1748472153.107126,UP,635.51
1748472153.594751,1748472154.187124,DOWN,592.37
1748472154.696412,1748472155.327146,UP,630.73
1748472155.852031,1748472156.435172,DOWN,583.14
1748472156.975966,1748472157.595194,UP,619.23
1748472158.016588,1748472158.607248,DOWN,590.66
1748472158.907603,1748472159.555205,UP,647.60
1748472159.855741,1748472160.435262,DOWN,579.52
1748472160.840388,1748472161.455248,UP,614.86
1748472161.843941,1748472162.427258,DOWN,583.32
1748472162.872382,1748472163.495817,UP,623.44
1748472164.024619,1748472164.595276,DOWN,570.66
1748472165.150802,1748472165.767304,UP,616.50
1748472166.356735,1748472166.927320,DOWN,570.59
1748472167.483156,1748472168.095335,UP,612.18
1748472168.722156,1748472169.295379,DOWN,573.22
1748472169.969377,1748472170.627401,UP,658.02
1748472171.067474,1748472171.647416,DOWN,579.94
1748472172.155645,1748472172.787625,UP,631.98
1748472173.316261,1748472173.895416,DOWN,579.16
1748472174.582606,1748472175.203439,UP,620.83
1748472175.678824,1748472176.247448,DOWN,568.62
1748472176.915658,1748472177.527464,UP,611.81
1748472178.241764,1748472178.807494,DOWN,565.73
1748472179.489590,1748472180.109094,UP,619.50
1748472180.675110,1748472181.247567,DOWN,572.46
1748472181.788713,1748472182.419539,UP,630.83
1748472183.123466,1748472183.687580,DOWN,564.11
1748472184.239830,1748472184.875569,UP,635.74
1748472185.651460,1748472186.227586,DOWN,576.13
1748472187.121384,1748472187.747606,UP,626.22
1748472188.300704,1748472188.867613,DOWN,566.91
1748472189.340779,1748472189.967635,UP,626.86
1748472190.788987,1748472191.367653,DOWN,578.67
1748472191.909720,1748472192.547682,UP,637.96
1748472193.388041,1748472193.947686,DOWN,559.65
1748472194.417266,1748472195.035708,UP,618.44
1748472195.541775,1748472196.127697,DOWN,585.92
1748472196.636365,1748472197.255738,UP,619.37
1748472197.818684,1748472198.387786,DOWN,569.10
1748472198.946125,1748472199.567828,UP,621.70
1748472200.045460,1748472200.839805,DOWN,794.35
1748472201.237429,1748472201.867797,UP,630.37
1748472202.490647,1748472203.055844,DOWN,565.20
1748472203.424994,1748472204.055822,UP,630.83
1748472204.514344,1748472205.088832,DOWN,574.49
1748472205.641261,1748472206.267850,UP,626.59
1748472206.690845,1748472207.307865,DOWN,617.02
1748472207.807301,1748472208.427877,UP,620.58
1748472208.873543,1748472209.435876,DOWN,562.33
1748472209.913505,1748472210.527912,UP,614.41
1748472211.037174,1748472211.595952,DOWN,558.78
1748472212.195625,1748472212.815966,UP,620.34
1748472213.315768,1748472213.887961,DOWN,572.19
1748472214.355761,1748472214.967972,UP,612.21
1748472215.423861,1748472215.987980,DOWN,564.12
1748472216.378456,1748472217.008403,UP,629.95
1748472217.533158,1748472218.148017,DOWN,614.86
1748472218.715998,1748472219.348024,UP,632.03
1748472219.814420,1748472220.408030,DOWN,593.61
1748472220.768512,1748472221.408077,UP,639.56
1748472221.836385,1748472222.396085,DOWN,559.70
1748472222.903020,1748472223.508062,UP,605.04
1748472223.998948,1748472224.568089,DOWN,569.14
1748472225.009827,1748472225.616092,UP,606.26
1748472226.249968,1748472226.808117,DOWN,558.15
1748472227.867849,1748472228.476138,UP,608.29
1748472229.357188,1748472229.916185,DOWN,559.00
1748472230.943631,1748472231.548215,UP,604.58
1748472232.240839,1748472232.816982,DOWN,576.14
1748472233.536899,1748472234.148211,UP,611.31
1748472234.835788,1748472235.396210,DOWN,560.42
1748472236.164716,1748472236.928235,UP,763.52
1748472237.357186,1748472237.992681,DOWN,635.49
1748472238.555247,1748472239.504280,UP,949.03
1748472239.805127,1748472240.416289,DOWN,611.16
1748472241.237760,1748472242.228308,UP,990.55
1748472242.962527,1748472243.536326,DOWN,573.80
1748472244.203149,1748472244.808330,UP,605.18
1748472245.802672,1748472246.368739,DOWN,566.07
1748472247.407976,1748472248.028792,UP,620.82
1748472248.841772,1748472249.484400,DOWN,642.63
1748472250.231419,1748472250.848418,UP,617.00
1748472251.703430,1748472252.288433,DOWN,585.00
1748472253.075370,1748472253.676497,UP,601.13
1748472254.487899,1748472255.112466,DOWN,624.57
1748472255.699647,1748472256.340504,UP,640.86
1748472257.203656,1748472257.776528,DOWN,572.87
1748472258.549488,1748472259.156507,UP,607.02
1748472259.765082,1748472260.368580,DOWN,603.50
1748472261.064804,1748472261.676576,UP,611.77
1748472262.244727,1748472262.808695,DOWN,563.97
1748472263.680956,1748472264.288629,UP,607.67
1748472265.013068,1748472265.588592,DOWN,575.52
1748472266.405406,1748472267.016646,UP,611.24
1748472267.725706,1748472268.308621,DOWN,582.92
1748472268.851340,1748472269.468788,UP,617.45
1748472270.455373,1748472271.068665,DOWN,613.29
1748472272.934848,1748472273.672724,UP,737.88
1748472274.221848,1748472274.912706,DOWN,690.86
1748472275.318050,1748472275.968770,UP,650.72
1748472276.557776,1748472277.240720,DOWN,682.94
1748472277.631737,1748472278.256740,UP,625.00
1748472279.752725,1748472280.377375,DOWN,624.65
1748472281.394540,1748472282.016819,UP,622.28
1748472282.317255,1748472282.888799,DOWN,571.54
1748472283.361575,1748472283.984814,UP,623.24
1748472284.488075,1748472285.108837,DOWN,620.76
1748472285.583203,1748472286.208834,UP,625.63
1748472286.652555,1748472287.329477,DOWN,676.92
1748472287.758508,1748472288.372898,UP,614.39
1748472288.901847,1748472289.488899,DOWN,587.05
1748472290.050101,1748472290.682668,UP,632.57
1748472291.183780,1748472291.756896,DOWN,573.12
1748472292.682946,1748472293.328918,UP,645.97
1748472293.831593,1748472294.408962,DOWN,577.37
1748472295.961276,1748472296.568963,UP,607.69
1748472297.084277,1748472297.668968,DOWN,584.69
1748472298.379902,1748472298.989000,UP,609.10
1748472299.633287,1748472300.209002,DOWN,575.71
1748472301.718786,1748472302.337033,UP,618.25
1748472305.450626,1748472306.029074,DOWN,578.45
1748472315.314180,1748472315.917199,UP,603.02
1748472316.746217,1748472317.329197,DOWN,582.98
1748472317.776906,1748472318.389198,UP,612.29
1748472319.148774,1748472319.729229,DOWN,580.45
1748472320.455530,1748472321.069243,UP,613.71
1748472321.833659,1748472322.429253,DOWN,595.59
1748472322.842041,1748472323.449286,UP,607.25
1748472324.223568,1748472324.849285,DOWN,625.72
1748472325.520094,1748472326.129332,UP,609.24
1748472327.131510,1748472327.709301,DOWN,577.79
1748472328.495683,1748472329.161335,UP,665.65
1748472329.869846,1748472330.437374,DOWN,567.53
1748472331.262950,1748472331.877708,UP,614.76
1748472332.465428,1748472333.049418,DOWN,583.99
1748472333.591992,1748472334.209387,UP,617.40
1748472334.949809,1748472335.529399,DOWN,579.59
1748472336.032619,1748472336.661448,UP,628.83
1748472337.630320,1748472338.197433,DOWN,567.11
1748472338.698075,1748472339.317524,UP,619.45
1748472339.992049,1748472340.569460,DOWN,577.41
1748472341.436224,1748472342.049568,UP,613.34
1748472342.704121,1748472343.269518,DOWN,565.40
1748472343.775676,1748472344.377500,UP,601.82
1748472345.005801,1748472345.589516,DOWN,583.71
1748472346.103290,1748472346.709532,UP,606.24
1748472347.204446,1748472347.769541,DOWN,565.09
1748472348.129512,1748472348.729548,UP,600.04
1748472349.220505,1748472349.797659,DOWN,577.15
1748472350.144278,1748472350.749579,UP,605.30
1748472351.196063,1748472351.789581,DOWN,593.52
1748472352.632944,1748472353.237600,UP,604.66
1748472353.711631,1748472354.277613,DOWN,565.98
1748472354.739223,1748472355.349638,UP,610.42
1748472355.935083,1748472356.497661,DOWN,562.58
1748472356.958033,1748472357.569649,UP,611.62
1748472358.386193,1748472358.957662,DOWN,571.47
1748472360.193913,1748472360.809681,UP,615.77
1748472361.393089,1748472361.973737,DOWN,580.65
1748472362.585178,1748472363.189739,UP,604.56
1748472364.207839,1748472364.789723,DOWN,581.88
1748472365.350689,1748472365.958678,UP,607.99
1748472366.345797,1748472366.929743,DOWN,583.95
1748472367.510927,1748472368.129763,UP,618.84
1748472368.541343,1748472369.109774,DOWN,568.43
1748472369.561710,1748472370.189781,UP,628.07
1748472370.547157,1748472371.109793,DOWN,562.64
1748472371.703798,1748472372.309834,UP,606.04
1748472372.629949,1748472373.209814,DOWN,579.86
1748472373.734991,1748472374.349834,UP,614.84
1748472374.822517,1748472375.397854,DOWN,575.34
1748472375.982694,1748472376.589848,UP,607.15
1748472376.968058,1748472377.537860,DOWN,569.80
1748472378.009493,1748472378.609871,UP,600.38
1748472379.107550,1748472379.669886,DOWN,562.34
